project,owner,repo,sha,url,sloc,stars,age_years,commit_count,Project Source
18F-identity-terraform,18F,identity-terraform,9eebc4d,https://github.com/18F/identity-terraform.git,10936.0,19.0,7.7,668.0,Dependency Based
283375-arcaea-offline,283375,arcaea-offline,9086133,https://github.com/283375/arcaea-offline.git,2238.0,29.0,2.6,119.0,Dependency Based
A-F-V-Refactoring-Agent,A-F-V,Refactoring-Agent,2d031cf,https://github.com/A-F-V/Refactoring-Agent.git,1278.0,1.0,1.9,28.0,Dependency Based
APS-Networks-bfrt-helper,APS-Networks,bfrt-helper,7ea485a,https://github.com/APS-Networks/bfrt-helper.git,3736.0,13.0,4.5,5.0,Dependency Based
Adeniyilowee-CI-CD-with-Github-Actions,Adeniyilowee,CI-CD-with-Github-Actions,25c6364,https://github.com/Adeniyilowee/CI-CD-with-Github-Actions.git,422323.0,2.0,2.3,19.0,Dependency Based
Aditya-1998k-CacheCraft,Aditya-1998k,CacheCraft,39b6213,https://github.com/Aditya-1998k/CacheCraft.git,152.0,0.0,1.3,10.0,Neither
AgeOfLearning-upackage,AgeOfLearning,upackage,b5b6d78,https://github.com/AgeOfLearning/upackage.git,260.0,2.0,7.1,25.0,Dependency Based
Aggify-aggify,Aggify,aggify,1748e98,https://github.com/Aggify/aggify.git,2788.0,73.0,2.2,401.0,Neither
AlexOrlek-figleaf_fasta,AlexOrlek,figleaf_fasta,2ac9d84,https://github.com/AlexOrlek/figleaf_fasta.git,538.0,6.0,4.9,11.0,Neither
AlexRiina-checkmyreqs,AlexRiina,checkmyreqs,66af15e,https://github.com/AlexRiina/checkmyreqs.git,305.0,1.0,12.8,10.0,Neither
AlexanderCollins-TurboDRF,AlexanderCollins,TurboDRF,9aad5cc4754ceaf9367c69c4de12f742210a2a5a,https://github.com/AlexanderCollins/TurboDRF.git,5658.0,158.0,0.6,64.0,Dependency Based
AliAkhtari78-SpotifyScraper,AliAkhtari78,SpotifyScraper,b28196281c957ea7f11dcdae00113287dc89b080,https://github.com/AliAkhtari78/SpotifyScraper.git,30050.0,223.0,5.7,303.0,Dependency Based
AllenInstitute-aics-ml-segmentation,AllenInstitute,aics-ml-segmentation,6ee1713100666ff4cd32380a75cc628124d9c2dc,https://github.com/AllenInstitute/aics-ml-segmentation.git,3187.0,27.0,7.3,157.0,Dependency Based
AllenInstitute-ecephys_spike_sorting,AllenInstitute,ecephys_spike_sorting,6210caa,https://github.com/AllenInstitute/ecephys_spike_sorting.git,17583.0,122.0,7.7,379.0,Spec Based
AllenInstitute-open_dataset_tools,AllenInstitute,open_dataset_tools,e67b88b03b20f47793493f4ce4f2b4eaffab47f0,https://github.com/AllenInstitute/open_dataset_tools.git,2561.0,14.0,5.6,116.0,Dependency Based
AlvaroMenduina-ZERN,AlvaroMenduina,ZERN,8a085b6,https://github.com/AlvaroMenduina/ZERN.git,583.0,19.0,8.0,52.0,Neither
Amitabh1989-Design-Patterns-with-Python,Amitabh1989,Design-Patterns-with-Python,001f9cb,https://github.com/Amitabh1989/Design-Patterns-with-Python.git,202493.0,3.0,2.7,71.0,Neither
AntoineGagne-cmus-notify,AntoineGagne,cmus-notify,e8f95c9,https://github.com/AntoineGagne/cmus-notify.git,511.0,12.0,8.8,52.0,Dependency Based
AppDaemon-appdaemon,AppDaemon,appdaemon,9be468a,https://github.com/AppDaemon/appdaemon.git,56977.0,935.0,9.5,4460.0,Neither
Apress-python-continuous-integration-delivery,Apress,python-continuous-integration-delivery,46f6edacb2d3222a56eb7a14c485e0b812236b7b,https://github.com/Apress/python-continuous-integration-delivery.git,1150.0,19.0,7.0,1.0,Dependency Based
